Name,Salary,Productivity,Commute Time
Olevia Morace  ,189376,72.63,16.28
Valrie Devivo  ,165745,40.82,32.66
Maya Newsome  ,80389,28.92,20.30
Noriko Vegas  ,173464,24.63,36.14
Mui Bullington  ,153429,92.88,15.88
Salome Burtenshaw  ,195557,68.06,27.31
Joelle Mcfarlain  ,173995,44.39,15.91
Melinda Tindell  ,101058,40.65,91.50
Isaias Bumgardner  ,85150,46.93,29.95
Nam Brasil  ,161296,62.8,9.63
Jacquiline Caminiti  ,55527,40.37,35.22
Nadine Falkner  ,111632,49.88,12.64
Angelo Denton  ,171368,95.46,33.80
Karma Lederman  ,41592,7.48,13.96
Celine Ecklund  ,114109,48.09,38.68
Julieann Royce  ,37356,49.9,16.46
Jessie Saltzman  ,108912,38.58,19.75
Dierdre Ceballos  ,32655,74.05,42.97
Earnestine Basden  ,154372,33.33,21.85
Dortha Milliron  ,173312,53.79,33.42
Sigrid Bisbee  ,151743,17.11,33.81
Lashon Stiver  ,161162,75.02,22.17
Deane Fussell  ,40802,40.21,35.03
Vernon Johannsen  ,156838,89.61,22.83
Erminia Haigh  ,49156,49.14,19.22
Sabra Grear  ,143353,22.24,27.72
Patria Regalado  ,86693,22,36.50
Nigel Gines  ,84535,93.76,28.54
Nan Melrose  ,84278,8.14,22.59
Whitley Giuliani  ,188796,69.01,37.85
Shawnta Rehm  ,169622,8.88,58.31
Donte Durkin  ,73654,11.65,11.22
Carlton Pell  ,154541,69.56,39.63
Teena Gorelick  ,50011,11.83,42.10
Caprice Burgdorf  ,47118,11.8,46.00
Bobbi Frazer  ,107970,57.53,26.25
Debbi Vella  ,45567,56.56,32.53
Xenia Perino  ,191114,27.16,69.93
Carmela Edmund  ,179029,73.77,32.84
Ngan Mayorga  ,100717,73.16,61.02
Kathey Krier  ,152410,65.99,22.96
Delsie Kreger  ,34555,48.62,23.41
Anderson Gillman  ,182350,16.02,41.00
Isis Burchard  ,123777,19.5,98.50
Rena Ring  ,46148,29.74,55.73
Shantel Wasko  ,96458,42.55,17.71
Meredith Silversmith  ,131134,5.48,34.79
Illa Demmer  ,125060,52.1,31.56
Junita Few  ,99113,46.12,30.66
Hilma Laughton  ,85506,1.79,36.41
Cristen Lodge  ,98372,38.25,38.65
Miki Hartle  ,50856,99.54,31.39
Tyra Waller  ,46667,5.62,38.45
Carley Daum  ,109174,83.51,38.95
Teofila Riggs  ,177694,94.83,61.06
Kirstie Sauers  ,65824,3.05,49.56
Emilee Loper  ,52526,39.45,36.03
Shandi Ricketts  ,64387,17.17,19.93
Gwendolyn Leftwich  ,120360,71.11,43.91
Lindsey Jerome  ,106805,71.8,26.74
Daniel Lucier  ,53183,96.98,16.44
Odessa Cumberland  ,89981,16.54,41.89
Salena Hausner  ,150460,21.37,31.05
Millie Cromartie  ,177724,3.97,62.41
Laveta Carrico  ,109992,40.65,29.47
Lilia Lemoine  ,167579,1.67,27.36
Harriett Spratt  ,85693,51.43,41.05
Shenna Harte  ,125560,80.24,30.68
Florida Shiffer  ,158692,82.91,59.33
Barb Wehner  ,64721,42.33,26.43
Nery Rosales  ,196278,73.81,42.40
Altha Perrotti  ,111102,64.69,12.84
Virgilio Murphey  ,69277,42.42,45.54
Ashleigh Istre  ,178627,34.7,38.67
Emerson Pernice  ,34879,50.39,51.45
Eleanora Hornbuckle  ,85425,81.6,53.49
Lucia Schipper  ,75085,1.88,38.15
Windy Sabatino  ,136013,25.66,46.26
Vernon Darlington  ,180486,97.52,44.65
Marybelle Rabon  ,144199,41.81,54.47
Fidel Holtzen  ,191519,92.87,26.99
Coralie Justus  ,78857,66.19,40.07
Venita Jost  ,165055,98.55,55.85
Tynisha Rosser  ,38186,95.24,32.53
Manie Capron  ,158031,20.68,43.94
Johnny Kellogg  ,142749,60.81,39.84
Otto Bickerstaff  ,74010,90.62,21.98
Leisha Beckert  ,189089,45.62,26.06
Kym Quesnel  ,50146,48.71,27.71
Janae Officer  ,110139,99.69,15.45
Javier Sax  ,129826,59.89,47.11
Nikita Chrysler  ,128214,85.97,33.23
Ana Grunden  ,49640,13.88,21.86
Refugia Creekmore  ,31963,49.05,41.21
Barabara Swindoll  ,183437,81.3,20.08
Carli Mallet  ,79364,77.65,38.19
Kyla Schweigert  ,167704,44.46,51.99
Flora Urquhart  ,183149,85.43,35.74
Christinia Spainhour  ,168973,83.37,11.72
Wanda Durocher  ,45425,51.97,45.49
Ira Koopman  ,127194,88.86,70.61
Sherry Wiltz  ,133856,80.35,92.58
Antionette Kwan  ,166263,39.35,29.12
Susanna Woodmansee  ,129778,19.96,12.61
Cory Helgren  ,153498,87.32,65.62
Quinn Frampton  ,44000,36.36,34.12
Ricardo Freitag  ,37346,89.55,38.56
Brendon Worrall  ,91761,44.41,24.38
Meghann Liefer  ,88082,27.14,68.04
Margaretta Veloz  ,138086,60.23,21.48
Reda Pascal  ,173482,39.2,25.71
Claris Cutchin  ,179404,18.35,48.65
Bari Juliano  ,83127,13.47,36.85
Shondra Dewoody  ,190190,95.77,35.80
Ardath Fellers  ,63696,5.11,13.39
Jone Buford  ,56330,52.23,38.97
Timmy Richeson  ,144838,65.76,21.91
Carola Whitcher  ,63743,12.31,24.24
Junita Boman  ,45419,81.97,22.49
Lili Gamber  ,164984,49.56,15.40
Mariana Hollowell  ,143883,96.19,32.80
Lacey Wade  ,145246,18.53,18.81
Charles Stoker  ,93198,56.01,46.90
Myrle Lichtenstein  ,163523,86.31,31.22
Concetta Perlmutter  ,147209,96.26,23.54
Farrah Work  ,76635,24.2,27.95
Desirae Weiner  ,42886,46.99,20.78
Tyra Searls  ,114913,53.39,62.51
Jennell Laurent  ,59784,13.71,37.30
Donella Hayslip  ,181859,32.79,19.88
Beryl Malchow  ,130338,29.11,19.52
Angie Royse  ,156978,72.75,18.73
Mckinley Dantonio  ,115715,27.59,10.86
Temple Ebeling  ,96601,69.27,30.66
Kasha Gaulke  ,86756,86.87,20.11
Arlean Arizmendi  ,69212,45.59,14.85
Carmelita Iglesias,110601,58.8,19.66
Lashawna Shanahan  ,94103,59.48,30.67
Elvera Robison  ,130974,1.93,55.02
Johnson Fordham  ,168684,1.46,22.39
Kittie Shehorn  ,32189,23.56,57.32
Ta Thrasher  ,104456,3.02,25.53
Paulina Kintzel  ,148088,54.7,32.38
Oretha Atwell  ,85316,60.74,43.63
Mervin Cusimano  ,94646,98.96,60.56
Karena Collingsworth  ,181784,46.72,19.87
Wilber Rye  ,111647,0.06,49.42
Loan Aman  ,39483,13.46,11.62
Brain Lige  ,45527,54.26,38.18
Annalisa Deloach  ,127066,79.17,18.82
Rosena Deland  ,174468,30.11,46.97
Alycia Greiner  ,159410,82.92,7.98
Solange Kadlec  ,72311,43.77,20.65
Nelle Orvis  ,67666,68.09,14.95
Jeanette Walck  ,122932,30.59,22.23
Jere Barrera  ,189521,9.29,24.14
Margot Mackenzie  ,114302,35.79,19.87
Lahoma Won  ,135819,36.67,34.26
Alvera Etherton  ,104434,46.43,44.90
Floretta Charlesworth  ,144086,31.88,84.44
Cecily Coberly  ,117678,53.19,24.83
Torie Newbold  ,34771,75.79,29.54
Elliot Whaley  ,101064,73.37,14.25
Leland Ullrich  ,33392,47.06,47.70
Hilma Malta  ,101372,8.22,22.72
Jerrica Benes  ,157820,5.34,64.59
Melodi Hoehne  ,72605,89.48,22.56
Margarite Walke  ,181974,27.59,13.68
Teresita Yamauchi  ,51922,30.76,41.78
Marietta Keach  ,173579,15.2,37.56
Gena Dinh  ,150658,34.09,43.71
Arron Zawislak  ,54111,76.65,22.35
Cecille Guzman  ,78034,75.87,50.46
Lenora Derry  ,98745,30.41,13.99
Terri Zarrella  ,109428,49.08,14.02
Penni Kimbrough  ,142680,35.21,49.64
Jacob Dilullo  ,80529,82.59,38.10
Alma Eyre  ,191075,72.65,14.05
Darrel Heeter  ,152164,38.71,46.41
Awilda Heinrichs  ,96056,29.14,16.07
Mirian Hoefler  ,118141,19.57,33.55
Temeka Meece  ,126631,53.31,46.84
Delmy Conatser  ,55465,52.61,54.34
Thomas Sams  ,160453,12.15,58.05
Lisabeth Naslund  ,164297,85.84,38.18
Devorah Hooser  ,148398,76.27,12.16
Lorrine Tiernan  ,149973,81.26,34.53
