id,card_no,time
95,3567577379132679,11:05
96,6709395915345948741,9:03
97,3581613757623880,19:17
98,5602231428506077,20:29
99,3586957473993647,15:16
100,5010120148399754,17:12
101,30374969923948,8:12
102,5108752835923463,9:17
103,337941703069988,11:29
104,342502834333488,9:33
105,5018804254272655,13:52
106,3564855068861599,19:45
107,3589443993723217,18:53
108,3589110316133099,11:37
109,30129539164120,19:25
110,3543644946201764,20:49
111,3529693602949271,16:53
112,379293686009881,10:33
113,6706011005335091585,15:29
114,5602216022890217,15:27
115,6398340533641954,13:41
116,6334353079836584999,18:24
117,6334899159420792983,19:52
118,3563000418825520,15:24
119,349492763207759,14:55
120,374288135940350,8:12
121,5249075821757608,18:02
122,3588962795864037,17:47
123,3584450145979923,16:07
124,3578798478632370,8:17
125,3576414951055426,11:46
126,3564554592593386,16:19
127,3574093701001393,9:42
128,3561231609266123,16:09
129,493636337574114166,19:24
130,3545552999465723,14:25
131,675960445546441506,17:09
132,3564278168702607,11:53
133,3537501579088504,12:32
134,6709028721804856,10:58
135,3582780002699285,8:56
136,3564438175011018,10:46
137,3571397021275295,16:55
138,6333077383809700047,15:21
139,3541684544642664,19:41
140,4936718814878875135,15:05
141,3558172306741981,16:44
142,3532527092075152,17:29
143,490506828135281141,9:11
144,4905887511182737551,14:10
145,5602242120853394,20:33
146,4913541569565998,15:44
147,3538854549930472,18:06
148,374283343710034,21:50
149,3569464215830204,19:27
150,6771575469032456743,18:35
151,3585205549594572,20:54
152,201886514691707,8:40
153,561035757734568400,19:06
154,3540183045158206,13:32
155,5602235210055250,14:53
156,5018018877697905642,12:00
157,30343320190737,11:09
158,377204668930848,11:38
159,633430786539041543,8:03
160,4041372209890,8:59
161,67095211234253639,20:46
162,201795418548253,20:45
163,5020296635189904,9:57
164,5372848241061507,19:39
165,4175008771586900,17:32
166,3567876124982234,16:45
167,4405179851638804,19:15
168,5412953975092397,11:00
169,3542968055926890,9:11
170,5010127800367011,9:19
171,3551982723002172,10:18
172,5507848517077706,20:52
173,6331105883666368,13:07
174,30128356147168,8:12
175,3530623935474231,10:49
176,201789573736340,14:53
177,3541197979170077,14:11
178,3545750014692871,8:53
179,6771524263131792898,13:25
180,56022335615032915,21:40
181,3537111389842700,18:18
182,337941032483389,10:24
183,201750508861744,8:10
184,374283447171026,12:06
185,3549450652983130,17:15
186,3540813034815388,11:04
187,3588121514405800,10:52
188,30553188513396,9:51
189,30081127829491,9:36
190,3578864181486361,18:57
191,337941827498683,16:14
192,5100172234828668,8:09
193,3570542078316168,10:37
194,4508616617085826,9:46
195,5602245476459948,12:55
196,3581435435279681,9:27
197,3583959635363100,9:32
198,5100147624927528,21:01
199,342753496670721,17:29
200,6706442516433222,15:55
201,4903930287203788,18:35
202,5467179873849399,9:03
203,345295106206378,19:59
204,3539045302222632,18:08
205,56022345113425719,8:43
206,5602212164601215,21:26
207,3567069734697026,16:19
208,3582212051717586,18:31
209,3577696330813439,9:26
210,201769930946618,10:01
211,5010127872100654,13:09
212,6399814453218448,16:26
213,3585893613355200,17:59
214,3581012658566639,17:35
215,3551717453163079,16:55
216,3539098541091169,19:06
217,6759018171706353,20:39
218,5602236001829317,10:10
219,4041596708881776,11:31
220,3573783032702138,8:16
221,3574491075116328,13:17
222,3553673998416951,20:07
223,4670283442337575,15:18
224,5610176898156889,17:17
225,5582290380397978,8:11
226,374622232549153,9:01
227,676712789596288104,19:45
228,374622770118726,10:20
229,5641821065696089578,12:41
230,3554485615652663,20:15
231,5048376840739368,12:19
232,4917001663841155,16:59
233,630425177425373856,11:03
234,3584806946000203,8:52
235,676150179661601440,19:54
236,337941982968900,10:20
237,3583908812568593,13:22
238,3546466140328384,19:05
239,3551121742425185,21:34
240,3560269741451832,18:25
241,560224852363164028,11:17
242,6759135523875171,20:25
243,3540004487228457,13:01
244,5048373119220113,15:48
245,5386138447912057,8:19
246,3552188129606165,21:06
247,5602246906028113,21:41
248,3552136281184059,8:41
249,3535844210494810,15:16
250,3559716202386702,17:34
251,3528195332261903,18:39
252,4405430402070173,9:03
253,3531905087070951,9:18
254,676311248678821972,16:01
255,6399663149701972,15:55
256,3552879672703157,17:47
257,5602230010831760,16:27
258,3529159044753614,19:15
259,201493544608056,20:40
260,3557458131211402,15:50
261,3569186016065785,14:08
262,201915626890533,8:00
263,3532602513864201,18:45
264,3576935694596318,13:28
265,3541566230497646,19:05
266,201971356475672,15:07
267,3569057640159072,17:42
268,3574197032413571,21:17
269,3539468582319292,8:04
270,560223090540427825,19:51
271,3541074692598662,13:57
272,374283529257057,10:00
273,3534532734165849,17:55
274,3549815205194320,16:08
275,6390989609157770,10:53
276,5100142759368010,12:12
277,30496438248175,13:22
278,3536730973941015,20:48
279,5610653684515767,12:34
280,3544685762830136,14:44
281,3546058973381463,17:46
282,3575783280544800,17:05
283,3571441308926418,9:11
284,5567967867944245,17:48
285,56022207473297692,10:26
286,493681990243409385,9:16
287,5010128304450899,15:23
288,67095083361731715,8:44
289,5100177115211389,9:33
290,3555969359268371,16:43
291,36389058793725,15:50
292,06043501707340165,10:13
293,4026662031150104,11:48
294,3543961208943135,18:40
295,50203549399451992,19:48
296,201489459456895,18:38
297,6334453086384185052,9:32
298,345590763619479,9:14
299,63047038426548098,9:30
300,6771474796612905224,21:30
301,3573975804638116,20:02
302,5514246324930731,19:43
303,3547951852454014,10:05
304,564182006597652991,15:01
305,6304842579463716121,16:48
306,3530103881478619,17:23
307,3560788995817620,20:07
308,67064677182482080,15:46
309,6706526528680420461,11:41
310,3533464812973061,17:24
311,6759244521813968,9:17
312,3557490849625037,15:43
313,677156642658143058,17:00
314,4017954651557630,14:02
315,3580119563419407,10:03
316,3576745126692647,11:19
317,5602246235812856,12:02
318,3533347581397168,15:58
319,3528782249224817,18:50
320,3580029134981217,17:40
321,5338425838603596,16:49
322,30469557182848,12:39
323,4903867047268968,11:23
324,5108759967236705,16:47
325,3532096987616934,19:49
326,30247978859073,18:49
327,374283145780409,18:16
328,374288389209361,10:06
329,5610911749386164,15:14
330,5602217300392603,9:09
331,5602251196648875672,9:22
332,50207887215923836,21:10
333,3540021091653441,15:07
334,6759687475329271653,13:23
335,5010123683062670,14:00
336,6761851764251633154,18:43
337,5602216670427916,15:06
338,3568410248824038,13:08
339,5386854613147621,10:16
340,3588689604307482,9:24
341,491180555420827939,16:02
342,3571187293174908,16:53
343,3571544323863738,17:03
344,3574066845257592,15:09
345,3547173295438617,15:23
346,67597462572299576,21:03
347,3563120309549508,15:34
348,374622439054528,12:22
349,3535763625213534,15:32
350,3559631146955555,8:44
351,5010121519831623,18:19
352,5602219147847633,13:55
353,30498836008730,12:10
354,5610411858352578,20:27
355,5602210168563837,16:32
356,201481072027377,12:31
357,5602246657991246,18:31
358,5230282629605028,10:06
359,3549584318649543,10:57
360,5214733378012618,17:18
361,3573917089670927,12:10
362,3556349657426790,8:50
363,374288791046419,16:30
364,3583465854666579,10:45
365,3563143729926429,14:30
366,3539689168841264,9:36
367,5893892848055975,20:54
368,3586790450027323,18:04
369,560221816852692560,10:20
370,4508831711002136,14:13
371,5170970299484599,10:40
